GPA,Test Score,Extracurricular Activities,Volunteer Hours,Recommendation Letters,Essay Score,Accepted
3.4,1600,2,4,Good,Below Average,No
3.14,1600,10,56,Excellent,,Yes
3.46,1600,6,27,Good,Average,Yes
3.81,1600,8,43,Good,Above Average,Yes
3.11,1600,1,16,Excellent,Very Weak,No
3.11,1600,4,22,Average,Below Average,No
3.83,1600,0,20,Excellent,Good,Yes
3.51,1600,5,50,Excellent,Above Average,Yes
3.01,1600,6,17,Average,Below Average,No
3.42,1600,6,33,Good,Below Average,Yes
3.01,1600,2,20,Average,Below Average,No
3.01,1600,1,26,Good,Poor,No
3.3,1600,2,15,Excellent,Average,Yes
2.43,1600,4,29,Bad,Weak,No
2.51,1600,2,8,Average,Very Weak,No
2.98,1600,2,4,Bad,,No
2.79,1600,1,29,Bad,Poor,No
3.33,1600,3,6,Good,Below Average,Yes
2.84,1600,3,48,Bad,Weak,No
2.64,1600,3,32,Excellent,Very Weak,No
3.79,1600,4,36,Good,Above Average,Yes
3.11,1600,5,40,,Average,Yes
3.23,1600,1,12,Excellent,Below Average,Yes
2.63,1600,5,38,Bad,Weak,No
2.98,1600,3,23,Bad,Below Average,No
3.24,1600,1,20,Good,Poor,No
2.74,1600,2,19,Bad,Very Weak,No
3.35,1600,5,25,Bad,Below Average,No
2.96,1600,4,21,,Below Average,No
3.08,1600,4,20,Good,Below Average,No
2.96,1600,3,34,Excellent,Below Average,Yes
3.94,1600,2,13,Good,Above Average,Yes
3.19,1600,2,0,Bad,Below Average,No
2.78,1600,3,28,,Weak,No
3.53,1600,6,55,Good,Above Average,Yes
2.71,1600,5,42,Good,Weak,No
3.28,1600,4,23,Excellent,Poor,Yes
2.42,1600,2,4,Good,Weak,No
2.67,1600,3,23,Average,Very Weak,No
3.28,1600,2,18,Excellent,Good,Yes
3.5,1600,1,5,Good,Average,No
3.27,1600,7,50,Good,Average,Yes
3.15,1600,5,53,Average,,Yes
3.08,1600,3,27,Good,Poor,No
2.61,1600,5,36,Average,Weak,No
2.91,1600,3,15,Excellent,Poor,No
3.02,1600,6,53,Average,Below Average,No
3.62,1600,4,29,Excellent,Average,Yes
3.34,1600,5,29,Good,Above Average,Yes
2.49,1600,5,35,Bad,Average,No
3.33,1600,4,34,Average,Below Average,No
3.05,1600,2,21,Excellent,Below Average,Yes
2.93,1600,5,47,Bad,Below Average,No
3.44,1600,4,33,Average,Good,Yes
3.61,1600,6,37,Excellent,Average,Yes
3.57,1600,4,34,Excellent,Below Average,Yes
2.86,1600,5,39,Average,Weak,No
3.08,1600,0,0,Average,,No
3.33,1600,8,61,Good,Below Average,Yes
3.59,1600,5,31,Good,Good,Yes
3.01,1600,7,42,Average,Average,No
3.13,1600,2,27,Excellent,Poor,Yes
2.76,1578,0,17,Good,Weak,No
2.72,1600,5,27,Good,Poor,No
3.53,1600,4,38,Average,Above Average,Yes
3.74,1600,4,24,Good,Above Average,Yes
3.17,1600,2,38,Good,Poor,No
3.6,1600,3,16,Good,Average,Yes
3.34,1600,3,27,Excellent,Below Average,Yes
2.94,1600,3,17,,Below Average,Yes
3.34,1600,3,47,Good,Below Average,Yes
3.82,1600,2,7,Excellent,Average,Yes
3.19,1600,5,40,Excellent,Average,Yes
3.83,1600,4,22,Excellent,Average,Yes
2.15,1562,3,21,Average,Very Weak,No
3.53,1600,3,29,Excellent,,Yes
3.23,1600,3,37,Average,Below Average,No
3.08,1600,2,36,Good,Below Average,No
3.24,1600,2,4,Excellent,Average,Yes
2.4,1600,6,42,Bad,Weak,No
3.11,1600,2,34,Average,Below Average,No
3.34,1600,1,0,Average,Below Average,No
3.79,1600,1,18,Average,Above Average,Yes
2.99,1600,5,34,Bad,Below Average,No
2.88,1600,4,34,Good,Weak,No
3,1600,5,27,Good,Poor,Yes
3.57,1600,5,20,Good,Above Average,Yes
3.33,1600,4,10,Good,Average,Yes
2.99,1600,5,44,Good,Average,Yes
3.41,1600,3,36,Good,Below Average,Yes
3.24,1600,4,33,Average,Weak,No
3.59,1600,6,34,Excellent,Average,Yes
2.92,1600,4,13,Good,Below Average,No
3.07,1600,2,25,Good,Average,No
3.04,1600,3,13,Good,Average,No
2.61,1600,5,27,Bad,Poor,No
3.32,1600,3,19,Excellent,,Yes
3.3,1600,2,18,Good,Below Average,No
3.2,1600,4,22,Excellent,Poor,Yes
3.11,1600,4,30,Good,Below Average,Yes
2.63,1600,5,28,Bad,Poor,No
3.03,1600,3,32,Good,Below Average,No
3.06,1600,7,55,Good,,Yes
2.88,1600,4,31,Average,Poor,No
3.14,1600,5,39,Good,Below Average,Yes
3.36,1600,2,41,Good,Average,Yes
3.95,1600,9,43,Excellent,Above Average,Yes
3.27,1600,2,7,Excellent,Below Average,Yes
3.3,1600,1,21,Good,Average,No
3.17,1600,3,44,Bad,Average,No
2.43,1600,6,37,,Weak,No
3.19,1600,1,32,Excellent,Poor,Yes
3.22,1600,2,20,Excellent,Poor,Yes
4,1600,8,43,Excellent,Good,Yes
3.12,1600,7,35,Bad,Below Average,No
3.32,1600,3,31,Good,Average,Yes
3.19,1600,1,5,Excellent,Average,No
2.73,1600,6,40,Good,Poor,No
3.66,1600,4,45,Excellent,Above Average,Yes
3.5,1600,5,31,Excellent,Average,Yes
3.52,1600,3,38,Good,Above Average,Yes
2.84,1600,3,12,Good,Below Average,No
3.76,1600,5,29,Excellent,Average,Yes
2.64,1600,5,20,Average,Weak,No
3.43,1600,4,30,Excellent,Average,Yes
4,1600,6,47,Excellent,Above Average,Yes
2.8,1600,3,25,Good,Average,No
2.97,1600,4,42,Average,Below Average,No
3.24,1600,2,12,Good,Poor,No
3,1600,7,47,Bad,Below Average,No
2.58,1600,10,54,Average,Poor,No
3.23,1600,4,33,Excellent,Below Average,Yes
2.78,1600,4,35,Average,Average,No
3.39,1600,3,30,Average,Average,No
2.83,1600,5,24,Average,Poor,No
3.82,1600,5,26,Excellent,Below Average,Yes
2.89,1600,5,27,Bad,Poor,No
3.07,1600,2,17,Average,Average,No
3.53,1600,2,20,Good,Average,Yes
2.71,1600,5,42,Bad,Very Weak,No
3.29,1600,2,11,Average,Below Average,No
3.72,1600,1,0,Average,Good,No
2.56,1600,6,61,Average,Poor,No
3.27,1600,4,18,Good,Poor,Yes
3.3,1600,3,33,,,No
3.51,1600,5,35,Excellent,Average,Yes
2.71,1600,5,37,Excellent,Weak,Yes
2.67,1600,1,14,Bad,Very Weak,No
3.41,1600,5,31,Excellent,Average,Yes
3.32,1600,7,49,Good,Above Average,Yes
3.3,1600,5,30,Good,Poor,Yes
3.34,1600,4,41,Average,Above Average,Yes
2.93,1600,4,35,Excellent,Poor,Yes
